pair_id,model_a,model_b,method,method_label,n_pair,date_min,date_max,aggregation_bi,market_bi,aggregation_minus_market_bi,beats_market,diversity_prediction_diversity,diversity_adjusted_pog,diversity_high_loss_diversity,diversity_adjusted_loss_diversity
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values) × Claude-3-7-Sonnet-20250219 (zero shot with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (zero shot with freeze values),simple_mean,Simple Mean,423,2025-03-02,2025-05-25,73.09994529831789,73.33097261028628,-0.23102731196838988,False,0.05460570998618275,0.0024848030969267104,-83.60000000000001,-0.5002462888803978
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values) × Claude-3-7-Sonnet-20250219 (zero shot with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (zero shot with freeze values),log_odds_mean,Log-odds Mean,423,2025-03-02,2025-05-25,73.09833331080675,73.33097261028628,-0.23263929947952988,False,0.05460570998618275,0.0024848030969267104,-83.60000000000001,-0.5002462888803978
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values) × Claude-3-7-Sonnet-20250219 (zero shot with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (zero shot with freeze values),ec_w0_56,EC · w = 0.56,423,2025-03-02,2025-05-25,73.21895151404321,73.33097261028628,-0.112021096243069,False,0.05460570998618275,0.0024848030969267104,-83.60000000000001,-0.5002462888803978
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values) × Claude-3-7-Sonnet-20250219 (zero shot with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (zero shot with freeze values),piecewise_odds,Piecewise Odds,423,2025-03-02,2025-05-25,73.1552052530001,73.33097261028628,-0.1757673572861762,False,0.05460570998618275,0.0024848030969267104,-83.60000000000001,-0.5002462888803978
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values) × DeepSeek-R1 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),DeepSeek-R1 (scratchpad with freeze values),simple_mean,Simple Mean,301,2025-03-02,2025-04-27,74.12788700758244,74.27135843935383,-0.14347143177138832,False,0.0284782466862874,0.0029419925249169476,-149.5,-0.7370181356712369
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values) × DeepSeek-R1 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),DeepSeek-R1 (scratchpad with freeze values),log_odds_mean,Log-odds Mean,301,2025-03-02,2025-04-27,74.1813960492,74.27135843935383,-0.08996239015382912,False,0.0284782466862874,0.0029419925249169476,-149.5,-0.7370181356712369
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values) × DeepSeek-R1 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),DeepSeek-R1 (scratchpad with freeze values),ec_w0_56,EC · w = 0.56,301,2025-03-02,2025-04-27,74.45254833892687,74.27135843935383,0.18118989957304166,True,0.0284782466862874,0.0029419925249169476,-149.5,-0.7370181356712369
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values) × DeepSeek-R1 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),DeepSeek-R1 (scratchpad with freeze values),piecewise_odds,Piecewise Odds,301,2025-03-02,2025-04-27,74.69865703807812,74.27135843935383,0.4272985987242919,True,0.0284782466862874,0.0029419925249169476,-149.5,-0.7370181356712369
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values) × DeepSeek-R1 (zero shot with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),DeepSeek-R1 (zero shot with freeze values),simple_mean,Simple Mean,163,2025-03-02,2025-04-27,74.30502367237204,74.43585503658512,-0.13083136421307984,False,0.04027716397268866,0.0024640536809815983,,-0.7258624556756902
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values) × DeepSeek-R1 (zero shot with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),DeepSeek-R1 (zero shot with freeze values),log_odds_mean,Log-odds Mean,163,2025-03-02,2025-04-27,74.42640499748805,74.43585503658512,-0.009450039097075091,False,0.04027716397268866,0.0024640536809815983,,-0.7258624556756902
